strDrink,strDrinkThumb,idDrink
1-900-FUK-MEUP,https://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,15395
110 in the shade,https://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,15423
151 Florida Bushwacker,https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,14588
155 Belmont,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,15346
24k nightmare,https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,17060
252,https://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,15288
3 Wise Men,https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,13899
3-Mile Long Island Iced Tea,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,15300
410 Gone,https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,13581
50/50,https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,14598
501 Blue,https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,17105
57 Chevy with a White License Plate,https://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,14029
69 Special,https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,13940
747,https://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,14229
747 Drink,https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg,178318
9 1/2 Weeks,https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,16108
A Day at the Beach,https://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,15200
A Furlong Too Late,https://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,17831
A Gilligan's Island,https://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,16943
A midsummernight dream,https://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,15675
A Night In Old Mandalay,https://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,17832
A Piece of Ass,https://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,16405
A Splash of Nash,https://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,14564
A True Amaretto Sour,https://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,17005
A. J.,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,17833
