strDrink,strDrinkThumb,idDrink
Afterglow,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,12560
Alice Cocktail,https://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,12562
Aloha Fruit punch,https://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,12862
Apello,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,15106
Apple Berry Smoothie,https://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,12710
Apple Karate,https://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,12564
Banana Cantaloupe Smoothie,https://www.thecocktaildb.com/images/media/drink/uqxqsy1468876703.jpg,12708
Banana Milk Shake,https://www.thecocktaildb.com/images/media/drink/rtwwsx1472720307.jpg,12654
Banana Strawberry Shake,https://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg,12656
Banana Strawberry Shake Daiquiri,https://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg,12658
Bora Bora,https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,12572
Castillian Hot Chocolate,https://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,12730
Chocolate Beverage,https://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,12732
Chocolate Drink,https://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,12734
Coke and Drops,https://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,17108
Cranberry Punch,https://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,12890
Drinking Chocolate,https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,12736
Egg Cream,https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,12668
Frappé,https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,12768
Fruit Cooler,https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,12670
Fruit Flip-Flop,https://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg,12672
Fruit Shake,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,12674
Grape lemon pineapple Smoothie,https://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg,12712
Holloween Punch,https://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,12954
Hot Chocolate to Die for,https://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,12738
Iced Coffee,https://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,12770
Ipamena,https://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,17176
Just a Moonmint,https://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,12688
Kill the cold Smoothie,https://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,12720
Kiwi Papaya Smoothie,https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,12714
Lassi - A South Indian Drink,https://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,12690
Lassi - Mango,https://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,12698
Lassi - Sweet,https://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg,12696
Lassi Khara,https://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,12692
Lassi Raita,https://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,12694
Lemouroudji,https://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,12702
Limeade,https://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,12704
Mango Orange Smoothie,https://www.thecocktaildb.com/images/media/drink/vdp2do1487603520.jpg,12716
Masala Chai,https://www.thecocktaildb.com/images/media/drink/uyrpww1441246384.jpg,12774
Melya,https://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,12776
Microwave Hot Cocoa,https://www.thecocktaildb.com/images/media/drink/8y4x5f1487603151.jpg,12744
Nuked Hot Chocolate,https://www.thecocktaildb.com/images/media/drink/xcu6nb1487603142.jpg,12746
Orange Scented Hot Chocolate,https://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,12748
Orangeade,https://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg,12618
Pineapple Gingerale Smoothie,https://www.thecocktaildb.com/images/media/drink/eg9i1d1487603469.jpg,12718
Pysch Vitamin Light,https://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,15092
Rail Splitter,https://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg,12630
Spanish chocolate,https://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,12750
Spiced Peach Punch,https://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,13032
Spiking coffee,https://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,12780
Strawberry Lemonade,https://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,13036
Strawberry Shivers,https://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,12722
Sweet Bananas,https://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,12724
Thai Coffee,https://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,12782
Thai Iced Coffee,https://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,12784
Thai Iced Tea,https://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,12786
Tomato Tang,https://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,12726
Yoghurt Cooler,https://www.thecocktaildb.com/images/media/drink/trttrv1441254466.jpg,12728
