idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsIT,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
12560,Afterglow,,,,Cocktail,,Non alcoholic,Highball Glass,Mix. Serve over ice.,,Mischen. Auf Eis servieren.,,Servire con ghiaccio.Mescolare.,,,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,,1 part ,4 parts ,4 parts ,,,,,,,,,,,,,,,No,2016-07-18 22:07:32
12562,Alice Cocktail,,,,Cocktail,,Non alcoholic,Cocktail glass,"Shake well, strain into a large cocktail glass.",,"Gut schütteln, in ein großes Cocktailglas abseihen.",,"Shakerare bene, filtrare in una coppetta da cocktail capiente.",,,https://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Grenadine,Orange juice,Pineapple juice,Cream,,,,,,,,,,,,1 cl ,1 cl ,2 cl ,4 cl ,,,,,,,,,,,,,,No,2016-07-18 22:09:04
12862,Aloha Fruit punch,,,,Punch / Party Drink,,Non alcoholic,Collins Glass,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.",,"Füge 1/4 Tasse Wasser zu einer Ingwerwurzel hinzu. 3 Minuten kochen lassen bis sie sich dehnt. Die Flüssigkeit zu den Guave-, Zitronen- und Ananassäften geben. Einen Sirup aus Zucker und restlichem Wasser herstellen. Abkühlen. Mit Säften und Ananas kombinieren. Vorsichtig abkühlen lassen.",,"Metti in una pentolina la radice di zenzero e aggiungi 1/4 di acqua. Bollire per 3 minuti. Versa il  succo di guava, limone e ananas con le rispettive dosi dentro alla pentolina. Fai uno sciroppo di zucchero e acqua rimanente. Raffredda. Combina lo sciroppo con la pentolina. Mescola.",,,https://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,Water,Ginger,Guava juice,Lemon juice,Pineapple,Sugar,Pineapple juice,,,,,,,,,3/4 cup ,2 tsp ,2 cups ,1 1/2 tblsp ,1 1/2 cup ,1 cup ,3-4 cups ,,,,,,,,,,,No,2016-07-18 22:11:07
15106,Apello,,,,Other/Unknown,,Non alcoholic,Collins Glass,Stirr. Grnish with maraschino cherry.,,Rühren. Mit Maraschinokirsche garnieren.,,"Versare tutti gli ingredienti in un mixing glass. Mescolate.
Guarnire con una ciliegia al maraschino.",,,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,,,,,4 cl ,3 cl ,1 cl ,1 ,,,,,,,,,,,,,,No,2016-07-18 22:13:35
12710,Apple Berry Smoothie,,,,Other/Unknown,,Non alcoholic,Highball Glass,Throw everything into a blender and liquify.,,Alles in einen Mixer geben und aufschlagen.,,Getta tutto in un frullatore e liquida.,,,https://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,Berries,Apple,,,,,,,,,,,,,,1 cup ,2 ,,,,,,,,,,,,,,,,No,2016-07-18 22:14:33
12564,Apple Karate,,,,Cocktail,,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",,"Alle Zutaten in das Mixer geben - abdecken und bei mittlerer Geschwindigkeit schaumig schlagen, bis sie gut vermischt sind. In ein großes, 2 mittlere oder 3 kleine Gläser füllen und geniessen.",,"Mettere tutti gli ingredienti nella caraffa del frullatore - coprire e montare a velocità media fino a quando non sono ben amalgamati.Versare in un bicchiere alto, 2 medi o 3 piccoli e bere.",,,https://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,Apple juice,Carrot,,,,,,,,,,,,,,2 cups ,1 large ,,,,,,,,,,,,,,,,No,2016-07-18 22:17:14
12708,Banana Cantaloupe Smoothie,,,,Other/Unknown,,Non alcoholic,Highball Glass,"Juice cantaloupe, pour juice into blender, add banana, and liquify.",,"Melone entsaften, Saft in den Mixer geben, Banane hinzufügen und aufschlagen.",,"Spremere il melone, versare il succo nel frullatore, aggiungere la banana e fluidificare.",,,https://www.thecocktaildb.com/images/media/drink/uqxqsy1468876703.jpg,Cantaloupe,Banana,,,,,,,,,,,,,,Juice of 1/2 ,1 ,,,,,,,,,,,,,,,,No,2016-07-18 22:18:23
12654,Banana Milk Shake,,,,Milk / Float / Shake,,Non alcoholic,White wine glass,"Blend very well, preferably in a household mixer. Serve in a wine glass, garnish with whipped cream and a piece of banana.",,"Sehr gut mischen, vorzugsweise in einem Haushaltsmixer. Im Weinglas servieren, mit Schlagsahne und einem Stück Banane garnieren.",,"Frullate molto bene. Servire in un bicchiere da vino, guarnire con panna montata e un pezzetto di banana.",,,https://www.thecocktaildb.com/images/media/drink/rtwwsx1472720307.jpg,Milk,Orange juice,Sugar syrup,Banana,,,,,,,,,,,,10 cl cold ,4 cl ,2 tsp ,1/2 ,,,,,,,,,,,,,,No,2016-09-01 09:58:27
12656,Banana Strawberry Shake,,,,Milk / Float / Shake,,Non alcoholic,Highball Glass,Blend all together in a blender until smooth.,,"Alles zusammen in einem Mixer mischen, bis es geschmeidig ist.",,Frullate tutto insieme in un frullatore fino a che non risulti liscio.,,,https://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg,Strawberries,Banana,Yoghurt,Milk,Honey,,,,,,,,,,,1/2 lb frozen ,1 frozen ,1 cup plain ,1 cup ," to taste
",,,,,,,,,,,,,No,2016-09-01 10:03:54
12658,Banana Strawberry Shake Daiquiri,,,,Milk / Float / Shake,,Non alcoholic,Cocktail Glass,Blend all together in a blender until smooth.,,"Alles zusammen in einem Mixer mischen, bis es geschmeidig ist.",,Frullate tutto insieme in un frullatore fino a che non risulti liscio.,,,https://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg,Strawberries,Banana,Apple juice,,,,,,,,,,,,,1/2 lb frozen ,1 frozen ,2 cups fresh ,,,,,,,,,,,,,,,No,2016-09-01 10:03:01
